"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.905404100477015,0.927696636079381,"ST026",0.90563948104325,0.927953981417988,-0.000235380566235732,-0.000257345338606996
"AI only",0.916384502791251,0.941451484592682,"ST026",0.917948680308724,0.941733155814096,-0.00156417751747284,-0.000281671221413538
"Reader only",0.90655527372845,0.935557962381789,"ST027",0.90563948104325,0.927953981417988,0.000915792685199479,0.00760398096380077
"AI only",0.919001867320441,0.942446985468214,"ST027",0.917948680308724,0.941733155814096,0.00105318701171697,0.000713829654118703
"Reader only",0.907631597566687,0.928256260739259,"ST028",0.90563948104325,0.927953981417988,0.00199211652343712,0.00030227932127036
"AI only",0.919869730506594,0.942368174204598,"ST028",0.917948680308724,0.941733155814096,0.00192105019786948,0.000635018390502506
"Reader only",0.906150774527539,0.928288793070996,"ST029",0.90563948104325,0.927953981417988,0.000511293484288688,0.000334811653007971
"AI only",0.919607856306278,0.941695568036497,"ST029",0.917948680308724,0.941733155814096,0.00165917599755339,-3.75877775986577e-05
"Reader only",0.905802750032885,0.927684720115513,"ST030",0.90563948104325,0.927953981417988,0.000163268989635146,-0.000269261302475177
"AI only",0.918213151988342,0.941980302164919,"ST030",0.917948680308724,0.941733155814096,0.000264471679617739,0.000247146350823457
"Reader only",0.905553712655436,0.927566923767406,"ST031",0.90563948104325,0.927953981417988,-8.57683878139337e-05,-0.000387057650582001
"AI only",0.917115777145954,0.942064764657186,"ST031",0.917948680308724,0.941733155814096,-0.000832903162770182,0.00033160884309047
"Reader only",0.894658580000165,0.926939660293294,"ST032",0.90563948104325,0.927953981417988,-0.0109809010430857,-0.00101432112469402
"AI only",0.916603369152961,0.942285630857006,"ST032",0.917948680308724,0.941733155814096,-0.00134531115576331,0.000552475042910117
"Reader only",0.905586126004429,0.928329345623581,"ST033",0.90563948104325,0.927953981417988,-5.33550388217563e-05,0.000375364205593032
"AI only",0.918066717536214,0.941523486590146,"ST033",0.917948680308724,0.941733155814096,0.000118037227489265,-0.000209669223949716
"Reader only",0.907416198145432,0.928346497906411,"ST034",0.90563948104325,0.927953981417988,0.00177671710218164,0.000392516488422867
"AI only",0.917588424164584,0.941185421542752,"ST034",0.917948680308724,0.941733155814096,-0.000360256144140592,-0.000547734271344136
"Reader only",0.906319660051886,0.92898046318767,"ST035",0.90563948104325,0.927953981417988,0.000680179008635928,0.00102648176968123
"AI only",0.917442293589194,0.94050627487693,"ST035",0.917948680308724,0.941733155814096,-0.000506386719530294,-0.00122688093716539
"Reader only",0.90650928549579,0.928160694780144,"ST036",0.90563948104325,0.927953981417988,0.000869804452540035,0.000206713362156052
"AI only",0.917870090951827,0.942601023903148,"ST036",0.917948680308724,0.941733155814096,-7.85893568969742e-05,0.000867868089052481
"Reader only",0.907220425789164,0.928233315645502,"ST037",0.90563948104325,0.927953981417988,0.00158094474591319,0.00027933422751425
"AI only",0.918245677611078,0.942558686894455,"ST037",0.917948680308724,0.941733155814096,0.00029699730235333,0.000825531080358877
